"business_id","review_id","date","stars","text","votes_useful","state","city","wordsLength","negative","positive","positivity","negativity"
"7bLvK0YgtMJYbk5WY5IjTw","yB-MPvjBomEH3vubCfk1og","2009-11-12",4,"Yeah...another Macy's.  I can't help it.  The Clearance rack just calls my name, ""Sal!  Sal! Sal, we are over here!  And we have low, low prices!""

Well, not the lowest prices I have seen at a Macy, and not the best of selections on the clearance racks.  I did happen to find several good Tees that I can wear when I get back to Florida, though.  No way I am wearing them in the weather in PA.  BRRRR.",0,"PA","Homestead",22,4,3,0.136363636363636,0.181818181818182
"7bLvK0YgtMJYbk5WY5IjTw","vA58XrgIEdlhtg324fEoiw","2011-01-31",3,"The layout of this Macy's leaves much to be desired.  This major design flaw kept me away from the Waterfront Macy's for a while, but since figuring it out, I've made some great finds.  My advice is to get a Macy's card, and pay it off every month.  With the Macy's card you get quality coupons mailed & e-mailed regularly that can be used in addition to any sales they have going on.  I've never paid full price for anything there!  $600 watch for $300? Yes ma'am!  $300 pearls for $80?  Unpossible you say?  No!",1,"PA","Homestead",32,1,3,0.09375,0.03125
"7bLvK0YgtMJYbk5WY5IjTw","h5ZFj5PoO-cB1BUP7bYKpw","2012-07-10",4,"Meh, it's Macy's.  

What can you say about a department store that is now considered the norm in the Pittsburgh area?  Not much really.  It's nice, it's clean, and it's all by itself.",1,"PA","Homestead",10,0,2,0.2,0
"7bLvK0YgtMJYbk5WY5IjTw","mp6ZNKIPypAd06vvYOMNUg","2014-02-17",3,"Well, if I can't have my much missed and beloved Kaufmann's I'll begrudgingly take Macy's. Not that there is much price difference, the styles and designer names they each carried were different. 

This Macy's was a Kaufmann's at one point, which makes it harder for me to forget Kaufmann's. I'm very disappointed in the size of the men's Ralph Lauren section, as well as Nautica. Both are designer names I purchase. Nice men's fragrance section. Macy's does have some nice sales, and it makes sense to shop when they have these big sales which can save you 50-75% off the retail price. I still miss Kaufmann's.",1,"PA","Homestead",38,2,4,0.105263157894737,0.0526315789473684
"7bLvK0YgtMJYbk5WY5IjTw","jT8wI3ysbRANXS5egCqHRA","2014-11-19",2,"This was my first time at Macy's at the Waterfront. Sort of a disappointment....

My bff and I were shopping and I was hoping to find some good deals and maybe do a little Christmas shopping. Not the case...Men's Clothing was way, way more than I was willing to fork out. The sales racks were not even 'sale' prices, really. I was also on the hunt for some new bras. I asked the sales clerk for some assistance. No such luck. Her response was that she was new and couldn't help. Maybe I could go down to the next counter and ask another clerk. Here's the thing with that, there was no one else around. Cricket, cricket. I mean, you couldn't even try to help me? In the end, I did end up purchasing some K-Cups, since they were on sale - buy one, get one free. Although, I think I was just super excited to Buy Something that I didn't even stop to think that I still paid $19.99 for two boxes of K-Cups (since I was obviously charged for the higher priced box). 

The only 'pro' I can say about this store is that it is clean. But it should be, with the lack of traffic......",1,"PA","Homestead",59,3,7,0.11864406779661,0.0508474576271186
"7bLvK0YgtMJYbk5WY5IjTw","HAyw0unb6gnxYXGRa2rHHw","2014-12-04",3,"The pros...
- Easy parking
- Clean store
- The cashier took the time to tell me I was missing out on a BOGO deal (totally missed the sign). 

The cons...
- The selection.   I went there for a pair of black slacks.   They had exactly two options in my size - TWO.  In the whole store.  And both were too short.   I'm a normal size, so I cannot believe that I had literally two options.   
- The dressing room.  For as clean as the store is, the dressing room is less so...and it smelled like feet and BO.   Glad I only had two options to try on.",0,"PA","Homestead",39,2,7,0.179487179487179,0.0512820512820513
"96-__E9bD-aVQsYVZ_E7uQ","FBhvzXIcgFtWM9duEVZvOA","2011-01-03",2,"I miss you, Marshall Fields. You were the ""fancy"" department store with the upstairs dining room, had Santa Bears during the holidays, carried well-curated fashions for young and old and had the best -- the best -- shoe department. I weep for you.

Macy's, I keep trying to pretend you're not any different, but I can't. You're middle-of-the-road with hints at class, you're Penney's with a red lipstick veneer, your store brand clothes are cheaply made and you called the jeans I searched high and low for an ""impulse buy"" while not honoring any coupons (like your other stores do).

Since when are jeans an ""impulse buy?"" 

Macy's, please shape up. The discerning customers of Madison deserve more.",4,"WI","Madison",48,2,6,0.125,0.0416666666666667
"96-__E9bD-aVQsYVZ_E7uQ","6KLFk0S4JJcIkUN5unXf4w","2011-01-16",2,"Macy's is not Marshall Fields, nor will it ever be.  Maybe it is more like Marshall's, without the low prices.  It is 100 degrees inside, and trying to move around the obstacle course of products jammed in the aisles is annoying at best.  God help you if there is ever a fire.",0,"WI","Madison",17,2,1,0.0588235294117647,0.117647058823529
"96-__E9bD-aVQsYVZ_E7uQ","EQKrehiOs47yvbTHEGygRQ","2011-03-28",4,"I love Macy's. It adds a little more to the men's clothing shopping status here in Madison. They have lots of great quality brands and a wide range of prices to fit everyone's needs. The location is spectacular, right smack-dab in the middle of the Hilldale Shopping Centre. You can't miss it and if you do... I think it's time for GPS haha. Anyways the staff at this particular which is great. It is almost like you have your own personal shopper while in there. They aid you in anything you need and will even carry items you might want to try on! It is great. Def. a 4 star for Macy's. Only four stars because it could be a little better well-kept, but it might be because they are always busy.",0,"WI","Madison",39,1,6,0.153846153846154,0.0256410256410256
"96-__E9bD-aVQsYVZ_E7uQ","30eRw1MZ5pBBufciffR2TQ","2011-04-12",2,"This Macy's apparently got the short end of the stick compared to other Macy's stores. I used to think that Macy's was more upscale until this Macy's replaced Marshall Fields (which was excellent) in Madison, WI. 

The highlight of  Macy's is definitely their sales - you can get some pretty good deals if you go at the right time - and they offer many ways to get at the sales, such as offering the option of donating clothes.

The make up counters are nice, but service is not always readily available.

The juniors/young adult section is definitely lacking, and the formal dress section often has damaged dresses without discounts for their damage.",1,"WI","Madison",38,2,7,0.184210526315789,0.0526315789473684
